
7zip.commandline 16.02.0.20170209
7zip.portable 19.0
adobereader 2019.010.20099
chocolatey 0.10.13
chocolatey-core.extension 1.3.3
chocolatey-visualstudio.extension 1.8.0
chocolatey-windowsupdate.extension 1.0.3
dotnetfx 4.7.2.20180712
iTunes 12.9.4.102
KB2919355 1.0.20160915
KB2919442 1.0.20160915
KB2999226 1.0.20181019
KB3033929 1.0.4
KB3035131 1.0.2
ruby 2.6.1.1
ruby2.devkit 4.7.2.2013022403
virtualbox 6.0.4
visualstudio-installer 2.0.0
visualstudio2017professional 15.9.10.0
visualstudio2019buildtools 16.0.0.0
visualstudio2019community 16.0.0.0
